1,2,3,4,5,6,7,8,9,label
37.0,0.0,105.0,3.0,18.0,0.0,68.0,87.0,18.0,0
44.0,2.0,81.0,0.0,44.0,1.0,37.0,37.0,0.0,0
41.0,0.0,97.0,0.0,42.0,29.0,56.0,55.0,0.0,0
48.0,-1.0,84.0,0.0,46.0,-3.0,36.0,38.0,2.0,0
37.0,3.0,76.0,6.0,34.0,0.0,39.0,43.0,4.0,0
44.0,0.0,76.0,0.0,44.0,2.0,32.0,32.0,0.0,0
43.0,1.0,79.0,0.0,42.0,0.0,37.0,38.0,2.0,0
46.0,3.0,79.0,0.0,46.0,16.0,33.0,32.0,0.0,0
46.0,0.0,88.0,-4.0,46.0,16.0,43.0,42.0,0.0,0
45.0,0.0,81.0,-3.0,44.0,0.0,36.0,37.0,2.0,0
53.0,0.0,87.0,3.0,52.0,-5.0,34.0,35.0,2.0,0
37.0,0.0,93.0,0.0,10.0,-9.0,56.0,83.0,28.0,0
37.0,0.0,76.0,0.0,34.0,10.0,39.0,42.0,2.0,0
49.0,-3.0,107.0,0.0,46.0,-30.0,58.0,60.0,2.0,0
45.0,4.0,108.0,0.0,44.0,0.0,63.0,64.0,2.0,0
37.0,0.0,106.0,0.0,26.0,1.0,68.0,80.0,12.0,0
48.0,1.0,83.0,-1.0,46.0,0.0,34.0,36.0,2.0,0
41.0,0.0,79.0,-1.0,38.0,-5.0,39.0,41.0,2.0,0
43.0,0.0,108.0,-5.0,42.0,-16.0,64.0,66.0,2.0,0
44.0,0.0,87.0,0.0,44.0,1.0,43.0,43.0,0.0,0
47.0,0.0,88.0,6.0,46.0,0.0,42.0,42.0,0.0,0
50.0,-2.0,84.0,0.0,50.0,0.0,34.0,35.0,0.0,0
37.0,0.0,76.0,-4.0,36.0,0.0,39.0,40.0,0.0,0
37.0,5.0,75.0,0.0,36.0,0.0,38.0,39.0,0.0,0
55.0,0.0,77.0,-1.0,54.0,0.0,22.0,23.0,0.0,0
52.0,4.0,86.0,0.0,52.0,0.0,34.0,34.0,0.0,0
41.0,0.0,79.0,0.0,38.0,-17.0,38.0,40.0,2.0,0
39.0,0.0,77.0,3.0,38.0,0.0,38.0,39.0,0.0,0
45.0,0.0,79.0,0.0,44.0,-27.0,33.0,35.0,2.0,0
47.0,-1.0,84.0,0.0,46.0,0.0,37.0,38.0,0.0,0
43.0,-1.0,77.0,0.0,42.0,-15.0,34.0,35.0,2.0,0
43.0,0.0,83.0,2.0,44.0,22.0,40.0,39.0,0.0,0
45.0,-1.0,86.0,0.0,44.0,-8.0,41.0,42.0,2.0,0
43.0,-4.0,77.0,1.0,42.0,-20.0,34.0,36.0,2.0,0
46.0,-4.0,81.0,0.0,46.0,0.0,34.0,34.0,0.0,0
37.0,0.0,76.0,0.0,30.0,-5.0,39.0,45.0,6.0,0
51.0,0.0,84.0,0.0,52.0,24.0,34.0,33.0,0.0,0
43.0,0.0,87.0,0.0,42.0,-9.0,44.0,46.0,2.0,0
37.0,0.0,77.0,0.0,2.0,3.0,40.0,74.0,34.0,0
37.0,0.0,78.0,0.0,16.0,26.0,41.0,63.0,22.0,0
45.0,0.0,80.0,0.0,44.0,-13.0,35.0,36.0,2.0,0
41.0,-5.0,78.0,0.0,42.0,3.0,37.0,37.0,0.0,0
51.0,-4.0,88.0,0.0,52.0,0.0,36.0,36.0,0.0,0
49.0,0.0,107.0,0.0,50.0,19.0,58.0,58.0,0.0,0
37.0,0.0,105.0,0.0,24.0,7.0,68.0,82.0,14.0,0
42.0,-1.0,83.0,0.0,42.0,0.0,42.0,42.0,0.0,0
37.0,3.0,75.0,0.0,18.0,-6.0,38.0,57.0,18.0,0
37.0,0.0,80.0,0.0,12.0,5.0,43.0,67.0,24.0,0
44.0,-2.0,108.0,0.0,44.0,0.0,63.0,64.0,0.0,0
51.0,0.0,84.0,0.0,52.0,2.0,33.0,32.0,0.0,0
47.0,-908.0,86.0,-1.0,46.0,0.0,39.0,39.0,0.0,0
42.0,-2.0,83.0,0.0,42.0,0.0,42.0,42.0,0.0,0
41.0,1.0,80.0,0.0,38.0,0.0,39.0,41.0,2.0,0
51.0,2.0,83.0,-1.0,50.0,-1.0,32.0,33.0,2.0,0
44.0,2.0,86.0,0.0,44.0,5.0,42.0,42.0,0.0,0
37.0,0.0,93.0,0.0,16.0,21.0,55.0,77.0,22.0,0
41.0,0.0,78.0,0.0,42.0,17.0,37.0,37.0,0.0,0
41.0,0.0,76.0,-5.0,38.0,0.0,35.0,37.0,2.0,0
40.0,-4.0,81.0,0.0,38.0,0.0,41.0,43.0,2.0,0
38.0,1.0,109.0,-3.0,38.0,0.0,71.0,71.0,0.0,0
42.0,0.0,86.0,3.0,42.0,0.0,44.0,44.0,0.0,0
58.0,-1.0,79.0,0.0,56.0,0.0,21.0,22.0,0.0,0
37.0,5.0,76.0,0.0,36.0,2.0,39.0,40.0,0.0,0
44.0,3.0,93.0,0.0,44.0,10.0,50.0,50.0,0.0,0
53.0,0.0,102.0,0.0,54.0,6.0,49.0,48.0,0.0,0
53.0,0.0,88.0,5.0,52.0,-20.0,35.0,36.0,2.0,0
37.0,0.0,80.0,-5.0,36.0,0.0,43.0,44.0,0.0,0
44.0,1.0,81.0,0.0,44.0,5.0,38.0,37.0,0.0,0
43.0,-1.0,83.0,-3.0,42.0,-6.0,40.0,42.0,2.0,0
37.0,0.0,107.0,0.0,36.0,0.0,69.0,71.0,2.0,0
37.0,0.0,77.0,-1.0,-18.0,-4.0,40.0,95.0,54.0,0
55.0,-1.0,93.0,0.0,54.0,0.0,38.0,39.0,0.0,0
46.0,2.0,80.0,0.0,46.0,2.0,34.0,34.0,0.0,0
67.0,4.0,112.0,0.0,68.0,2.0,45.0,45.0,0.0,0
51.0,-2.0,77.0,0.0,52.0,0.0,26.0,25.0,0.0,0
37.0,0.0,76.0,0.0,36.0,-13.0,39.0,40.0,2.0,0
48.0,-2.0,87.0,0.0,46.0,-8.0,39.0,41.0,2.0,0
53.0,-2.0,80.0,-2.0,54.0,-3.0,27.0,26.0,0.0,0
44.0,2.0,108.0,-1.0,44.0,7.0,64.0,64.0,0.0,0
41.0,0.0,81.0,5.0,38.0,0.0,40.0,42.0,2.0,0
52.0,1.0,87.0,-6.0,52.0,0.0,35.0,35.0,0.0,0
37.0,0.0,76.0,0.0,36.0,2.0,38.0,39.0,2.0,0
48.0,4.0,81.0,1.0,46.0,0.0,32.0,34.0,2.0,0
46.0,0.0,88.0,2.0,46.0,0.0,41.0,41.0,0.0,0
43.0,-3.0,86.0,-1.0,44.0,8.0,42.0,42.0,0.0,0
37.0,0.0,76.0,1.0,26.0,-12.0,40.0,50.0,10.0,0
49.0,2.0,95.0,0.0,46.0,-12.0,47.0,49.0,2.0,0
53.0,2.0,79.0,0.0,54.0,3.0,25.0,24.0,0.0,0
37.0,0.0,81.0,0.0,34.0,17.0,45.0,48.0,2.0,0
37.0,0.0,104.0,-1.0,28.0,1.0,67.0,76.0,8.0,0
56.0,-1.0,92.0,0.0,56.0,0.0,36.0,35.0,0.0,0
45.0,0.0,76.0,0.0,46.0,8.0,30.0,29.0,0.0,0
44.0,0.0,84.0,0.0,44.0,8.0,40.0,40.0,0.0,0
47.0,1.0,77.0,-7.0,46.0,0.0,30.0,31.0,0.0,0
45.0,0.0,82.0,-5.0,44.0,0.0,37.0,38.0,0.0,0
38.0,0.0,81.0,0.0,36.0,-24.0,43.0,44.0,2.0,0
49.0,3.0,82.0,0.0,50.0,25.0,33.0,33.0,0.0,0
53.0,-1.0,87.0,0.0,52.0,-21.0,34.0,35.0,2.0,0
37.0,0.0,76.0,0.0,24.0,-2.0,39.0,53.0,14.0,0
56.0,0.0,86.0,0.0,56.0,12.0,31.0,30.0,0.0,0
41.0,0.0,86.0,-5.0,38.0,-7.0,46.0,48.0,2.0,0
42.0,4.0,83.0,-5.0,42.0,0.0,41.0,41.0,0.0,0
52.0,-1.0,88.0,0.0,52.0,-6.0,35.0,36.0,0.0,0
56.0,0.0,79.0,0.0,54.0,-7.0,23.0,24.0,2.0,0
53.0,3.0,81.0,0.0,54.0,24.0,28.0,26.0,0.0,0
45.0,0.0,78.0,-5.0,44.0,-21.0,33.0,34.0,2.0,0
41.0,-5.0,77.0,8.0,38.0,-20.0,36.0,38.0,2.0,0
45.0,0.0,76.0,0.0,44.0,-23.0,31.0,32.0,2.0,0
37.0,0.0,75.0,0.0,26.0,16.0,38.0,49.0,12.0,0
37.0,0.0,79.0,0.0,2.0,19.0,42.0,76.0,34.0,0
48.0,-1.0,76.0,-1.0,46.0,-1.0,28.0,30.0,2.0,0
56.0,0.0,96.0,0.0,54.0,-1.0,40.0,42.0,2.0,0
37.0,-2.0,77.0,1.0,0.0,4.0,40.0,77.0,36.0,0
37.0,0.0,77.0,0.0,38.0,31.0,39.0,38.0,0.0,0
37.0,0.0,86.0,6.0,36.0,0.0,50.0,50.0,0.0,0
53.0,0.0,83.0,5.0,54.0,4.0,30.0,29.0,0.0,0
47.0,0.0,81.0,2.0,46.0,0.0,33.0,34.0,0.0,0
51.0,1.0,81.0,0.0,50.0,-4.0,30.0,32.0,2.0,0
37.0,0.0,77.0,0.0,26.0,18.0,40.0,51.0,12.0,0
49.0,0.0,87.0,0.0,50.0,0.0,38.0,38.0,0.0,0
41.0,0.0,79.0,6.0,42.0,8.0,38.0,38.0,0.0,0
47.0,-2.0,83.0,0.0,46.0,0.0,36.0,37.0,0.0,0
44.0,0.0,84.0,0.0,42.0,-16.0,40.0,43.0,2.0,0
37.0,0.0,78.0,0.0,24.0,29.0,41.0,55.0,14.0,0
53.0,0.0,87.0,0.0,52.0,-6.0,34.0,35.0,2.0,0
56.0,1.0,86.0,3.0,56.0,4.0,31.0,30.0,0.0,0
37.0,-1.0,76.0,0.0,20.0,-1.0,39.0,55.0,16.0,0
37.0,-1.0,77.0,-5.0,8.0,-14.0,41.0,70.0,28.0,0
47.0,0.0,87.0,-5.0,46.0,0.0,40.0,41.0,0.0,0
46.0,0.0,77.0,0.0,44.0,-19.0,32.0,34.0,2.0,0
49.0,-5.0,89.0,0.0,46.0,-30.0,40.0,42.0,2.0,0
37.0,0.0,82.0,0.0,36.0,22.0,45.0,46.0,2.0,0
52.0,-3.0,81.0,0.0,52.0,-2.0,29.0,30.0,0.0,0
56.0,0.0,89.0,0.0,56.0,3.0,33.0,32.0,0.0,0
49.0,0.0,111.0,0.0,50.0,0.0,62.0,62.0,0.0,0
42.0,-1.0,90.0,0.0,42.0,0.0,47.0,48.0,2.0,0
43.0,0.0,81.0,4.0,44.0,28.0,37.0,37.0,0.0,0
37.0,0.0,77.0,0.0,24.0,-14.0,40.0,54.0,14.0,0
37.0,0.0,95.0,-5.0,16.0,5.0,58.0,79.0,22.0,0
37.0,0.0,79.0,0.0,6.0,16.0,42.0,74.0,32.0,0
47.0,5.0,84.0,0.0,46.0,0.0,38.0,38.0,0.0,0
37.0,5.0,76.0,0.0,36.0,1.0,39.0,39.0,0.0,0
37.0,0.0,84.0,2.0,24.0,-14.0,47.0,61.0,14.0,0
43.0,0.0,79.0,0.0,44.0,24.0,35.0,35.0,0.0,0
43.0,0.0,76.0,0.0,42.0,-14.0,33.0,35.0,2.0,0
56.0,2.0,91.0,0.0,56.0,16.0,35.0,34.0,0.0,0
46.0,0.0,77.0,6.0,46.0,2.0,32.0,31.0,0.0,0
54.0,-3.0,83.0,-1.0,54.0,0.0,28.0,28.0,0.0,0
37.0,0.0,91.0,0.0,18.0,7.0,53.0,73.0,20.0,0
37.0,0.0,77.0,0.0,8.0,13.0,40.0,70.0,30.0,0
41.0,0.0,83.0,8.0,42.0,5.0,42.0,42.0,0.0,0
37.0,0.0,107.0,0.0,28.0,12.0,69.0,78.0,8.0,0
45.0,0.0,86.0,6.0,44.0,-1.0,41.0,42.0,2.0,0
54.0,-1.0,81.0,-5.0,54.0,-7.0,27.0,27.0,0.0,0
46.0,-4.0,79.0,0.0,46.0,0.0,33.0,32.0,0.0,0
42.0,-3.0,79.0,0.0,42.0,0.0,37.0,38.0,2.0,0
37.0,0.0,98.0,0.0,28.0,-4.0,61.0,70.0,8.0,0
38.0,0.0,102.0,0.0,34.0,-8.0,65.0,69.0,4.0,0
47.0,0.0,78.0,-7.0,46.0,0.0,31.0,32.0,0.0,0
55.0,1.0,88.0,1.0,54.0,0.0,32.0,33.0,2.0,0
40.0,0.0,89.0,0.0,38.0,0.0,49.0,50.0,2.0,0
53.0,3.0,81.0,0.0,52.0,-4.0,28.0,30.0,2.0,0
37.0,0.0,79.0,0.0,10.0,-21.0,42.0,68.0,26.0,0
44.0,-1.0,85.0,1.0,44.0,0.0,41.0,41.0,0.0,0
37.0,0.0,97.0,0.0,30.0,-3.0,60.0,66.0,6.0,0
37.0,0.0,76.0,0.0,28.0,16.0,39.0,47.0,8.0,0
47.0,0.0,86.0,2.0,46.0,0.0,38.0,39.0,0.0,0
42.0,0.0,77.0,-1.0,42.0,0.0,35.0,36.0,0.0,0
37.0,0.0,77.0,0.0,26.0,-13.0,40.0,51.0,10.0,0
45.0,0.0,93.0,0.0,44.0,-8.0,48.0,50.0,2.0,0
44.0,0.0,77.0,-1.0,44.0,2.0,33.0,33.0,0.0,0
38.0,0.0,79.0,0.0,38.0,5.0,42.0,41.0,0.0,0
47.0,0.0,88.0,4.0,46.0,0.0,41.0,41.0,0.0,0
37.0,2.0,77.0,0.0,-22.0,1.0,41.0,101.0,60.0,0
37.0,0.0,77.0,0.0,8.0,17.0,40.0,69.0,28.0,0
45.0,0.0,87.0,6.0,46.0,15.0,42.0,41.0,0.0,0
37.0,1.0,82.0,0.0,36.0,0.0,45.0,46.0,0.0,0
37.0,0.0,79.0,0.0,2.0,20.0,42.0,76.0,34.0,0
44.0,1.0,79.0,-1.0,44.0,0.0,35.0,35.0,0.0,0
42.0,3.0,79.0,8.0,42.0,0.0,37.0,38.0,0.0,0
45.0,0.0,86.0,-4.0,46.0,19.0,41.0,40.0,0.0,0
53.0,0.0,88.0,0.0,52.0,-27.0,35.0,37.0,2.0,0
44.0,-2.0,86.0,3.0,44.0,0.0,42.0,42.0,0.0,0
39.0,0.0,86.0,5.0,38.0,0.0,47.0,48.0,0.0,0
43.0,-4.0,85.0,0.0,42.0,-19.0,42.0,44.0,2.0,0
56.0,1.0,80.0,0.0,56.0,14.0,24.0,23.0,0.0,0
38.0,0.0,106.0,0.0,38.0,0.0,68.0,67.0,0.0,0
48.0,0.0,88.0,3.0,50.0,31.0,40.0,39.0,0.0,0
49.0,5.0,80.0,0.0,50.0,5.0,31.0,31.0,0.0,0
37.0,0.0,95.0,0.0,18.0,24.0,58.0,77.0,18.0,0
41.0,0.0,81.0,0.0,38.0,-19.0,41.0,43.0,2.0,0
49.0,-5.0,86.0,0.0,50.0,6.0,38.0,37.0,0.0,0
37.0,0.0,76.0,0.0,36.0,-5.0,38.0,39.0,2.0,0
51.0,1.0,102.0,0.0,50.0,0.0,51.0,53.0,2.0,0
47.0,2.0,90.0,8.0,46.0,0.0,43.0,44.0,0.0,0
43.0,0.0,81.0,2.0,42.0,-5.0,38.0,40.0,2.0,0
45.0,0.0,81.0,0.0,44.0,-23.0,35.0,37.0,2.0,0
45.0,0.0,86.0,-1.0,44.0,-13.0,41.0,42.0,2.0,0
38.0,0.0,77.0,0.0,38.0,9.0,39.0,38.0,0.0,0
41.0,-2.0,108.0,0.0,38.0,-13.0,67.0,69.0,2.0,0
46.0,0.0,84.0,-2.0,46.0,-3.0,38.0,37.0,0.0,0
45.0,0.0,79.0,0.0,44.0,-23.0,33.0,35.0,2.0,0
38.0,3.0,77.0,0.0,38.0,0.0,39.0,38.0,0.0,0
57.0,3.0,88.0,0.0,56.0,0.0,31.0,31.0,0.0,0
37.0,0.0,76.0,-1.0,28.0,-4.0,39.0,47.0,8.0,0
45.0,-2.0,81.0,0.0,46.0,11.0,35.0,34.0,0.0,0
38.0,-1.0,91.0,-2.0,6.0,-7.0,53.0,86.0,32.0,0
40.0,-2.0,86.0,0.0,38.0,0.0,46.0,47.0,2.0,0
45.0,0.0,85.0,0.0,46.0,21.0,40.0,39.0,0.0,0
55.0,0.0,83.0,3.0,54.0,0.0,28.0,29.0,0.0,0
37.0,0.0,93.0,0.0,16.0,7.0,55.0,77.0,22.0,0
46.0,-4.0,78.0,-1.0,46.0,0.0,32.0,32.0,0.0,0
41.0,1.0,86.0,0.0,38.0,-7.0,46.0,48.0,2.0,0
46.0,-4.0,86.0,0.0,46.0,0.0,41.0,40.0,0.0,0
46.0,0.0,85.0,-2.0,46.0,7.0,39.0,39.0,0.0,0
61.0,0.0,111.0,0.0,60.0,-8.0,50.0,52.0,2.0,0
52.0,0.0,78.0,-1.0,52.0,0.0,26.0,26.0,0.0,0
44.0,0.0,87.0,0.0,44.0,22.0,43.0,43.0,0.0,0
37.0,0.0,95.0,0.0,16.0,0.0,58.0,79.0,22.0,0
37.0,0.0,103.0,0.0,30.0,-6.0,66.0,72.0,6.0,0
37.0,0.0,77.0,3.0,28.0,0.0,41.0,49.0,8.0,0
37.0,0.0,79.0,0.0,10.0,-10.0,42.0,68.0,26.0,0
37.0,0.0,108.0,2.0,34.0,-30.0,71.0,75.0,4.0,0
43.0,0.0,83.0,0.0,42.0,-14.0,39.0,41.0,2.0,0
37.0,-4.0,80.0,0.0,34.0,1.0,43.0,46.0,4.0,0
37.0,0.0,77.0,0.0,20.0,19.0,41.0,57.0,16.0,0
37.0,-2.0,77.0,3.0,38.0,11.0,40.0,39.0,0.0,0
37.0,0.0,77.0,2.0,12.0,0.0,40.0,64.0,24.0,0
45.0,0.0,78.0,-4.0,46.0,20.0,33.0,32.0,0.0,0
37.0,0.0,97.0,-6.0,26.0,-5.0,60.0,71.0,12.0,0
37.0,0.0,106.0,14.0,28.0,0.0,69.0,78.0,8.0,0
37.0,0.0,77.0,0.0,0.0,-5.0,40.0,77.0,36.0,0
45.0,1.0,76.0,2.0,44.0,0.0,31.0,32.0,2.0,0
37.0,0.0,95.0,0.0,10.0,23.0,58.0,84.0,26.0,0
37.0,0.0,79.0,0.0,30.0,11.0,43.0,48.0,6.0,0
37.0,0.0,104.0,0.0,20.0,-22.0,67.0,84.0,16.0,0
56.0,3.0,86.0,0.0,56.0,14.0,31.0,30.0,0.0,0
41.0,0.0,76.0,0.0,38.0,-20.0,35.0,37.0,2.0,0
37.0,0.0,77.0,0.0,28.0,6.0,40.0,48.0,8.0,0
37.0,0.0,109.0,1.0,26.0,0.0,71.0,83.0,12.0,0
45.0,0.0,86.0,8.0,44.0,-2.0,41.0,42.0,2.0,0
41.0,2.0,78.0,0.0,42.0,23.0,37.0,37.0,0.0,0
37.0,0.0,84.0,0.0,30.0,10.0,47.0,53.0,6.0,0
48.0,0.0,88.0,1.0,46.0,0.0,39.0,41.0,2.0,0
42.0,0.0,81.0,0.0,42.0,315.0,39.0,40.0,0.0,0
38.0,0.0,107.0,3.0,38.0,0.0,69.0,68.0,0.0,0
46.0,0.0,79.0,2.0,46.0,8.0,34.0,33.0,0.0,0
47.0,1.0,86.0,-2.0,46.0,0.0,39.0,39.0,0.0,0
44.0,0.0,75.0,-7.0,44.0,2.0,31.0,31.0,0.0,0
37.0,0.0,77.0,3.0,36.0,3.0,41.0,41.0,0.0,0
37.0,0.0,106.0,0.0,26.0,-30.0,69.0,80.0,12.0,0
55.0,0.0,83.0,-1.0,54.0,0.0,28.0,28.0,0.0,0
39.0,1.0,97.0,0.0,38.0,0.0,58.0,58.0,0.0,0
45.0,2.0,87.0,6.0,44.0,0.0,42.0,43.0,2.0,0
49.0,0.0,80.0,0.0,50.0,28.0,31.0,31.0,0.0,0
45.0,0.0,80.0,0.0,46.0,20.0,35.0,34.0,0.0,0
43.0,-1.0,76.0,0.0,44.0,25.0,32.0,32.0,0.0,0
42.0,4.0,108.0,0.0,42.0,0.0,66.0,67.0,2.0,0
56.0,2.0,82.0,0.0,54.0,-12.0,26.0,28.0,2.0,0
37.0,0.0,76.0,0.0,26.0,13.0,40.0,50.0,10.0,0
37.0,0.0,103.0,0.0,18.0,-7.0,66.0,85.0,20.0,0
49.0,-1.0,106.0,0.0,50.0,0.0,57.0,57.0,0.0,0
50.0,5.0,85.0,0.0,50.0,0.0,35.0,36.0,0.0,0
37.0,0.0,80.0,0.0,20.0,-5.0,43.0,59.0,16.0,0
50.0,4.0,81.0,-4.0,50.0,0.0,31.0,32.0,0.0,0
37.0,-5.0,97.0,0.0,34.0,3.0,61.0,64.0,2.0,0
42.0,-2.0,97.0,1.0,42.0,0.0,56.0,56.0,0.0,0
43.0,0.0,87.0,8.0,42.0,-9.0,44.0,46.0,2.0,0
37.0,0.0,77.0,-7.0,26.0,-1.0,40.0,51.0,10.0,0
63.0,2.0,111.0,5.0,62.0,0.0,48.0,49.0,2.0,0
49.0,0.0,82.0,0.0,50.0,27.0,33.0,33.0,0.0,0
47.0,5.0,78.0,-2.0,46.0,0.0,31.0,32.0,0.0,0
37.0,0.0,90.0,0.0,20.0,5.0,53.0,70.0,16.0,0
37.0,0.0,77.0,-1.0,34.0,-3.0,40.0,43.0,4.0,0
40.0,-2.0,80.0,2.0,38.0,0.0,40.0,41.0,2.0,0
37.0,0.0,76.0,3.0,36.0,0.0,40.0,40.0,0.0,0
37.0,0.0,81.0,-4.0,36.0,0.0,44.0,44.0,0.0,0
37.0,0.0,103.0,0.0,30.0,16.0,66.0,72.0,6.0,0
47.0,0.0,89.0,-7.0,46.0,0.0,42.0,42.0,0.0,0
37.0,0.0,80.0,0.0,12.0,2.0,43.0,67.0,24.0,0
37.0,0.0,78.0,0.0,16.0,-19.0,42.0,63.0,22.0,0
38.0,0.0,79.0,0.0,38.0,8.0,41.0,40.0,0.0,0
37.0,0.0,76.0,0.0,26.0,-2.0,40.0,50.0,10.0,0
53.0,5.0,81.0,0.0,54.0,4.0,28.0,27.0,0.0,0
56.0,-5.0,85.0,1.0,56.0,0.0,29.0,28.0,0.0,0
46.0,0.0,83.0,-7.0,46.0,0.0,37.0,37.0,0.0,0
41.0,0.0,79.0,-4.0,42.0,7.0,38.0,37.0,0.0,0
40.0,-5.0,80.0,6.0,38.0,0.0,40.0,41.0,2.0,0
37.0,0.0,76.0,1.0,34.0,2.0,40.0,43.0,2.0,0
46.0,-3.0,108.0,0.0,46.0,0.0,62.0,62.0,0.0,0
37.0,0.0,77.0,6.0,34.0,-16.0,40.0,43.0,2.0,0
40.0,-2.0,108.0,0.0,38.0,0.0,68.0,69.0,2.0,0
46.0,0.0,85.0,0.0,46.0,14.0,39.0,39.0,0.0,0
51.0,0.0,81.0,0.0,52.0,3.0,29.0,29.0,0.0,0
45.0,0.0,77.0,0.0,46.0,21.0,31.0,30.0,0.0,0
37.0,0.0,77.0,0.0,24.0,9.0,40.0,54.0,14.0,0
51.0,0.0,82.0,3.0,52.0,16.0,31.0,30.0,0.0,0
46.0,0.0,90.0,0.0,46.0,1.0,44.0,44.0,0.0,0
37.0,0.0,82.0,0.0,18.0,7.0,45.0,64.0,18.0,0
39.0,1.0,93.0,-3.0,38.0,0.0,54.0,55.0,0.0,0
44.0,2.0,79.0,0.0,42.0,-18.0,35.0,37.0,2.0,0
50.0,-2.0,80.0,0.0,50.0,0.0,30.0,31.0,2.0,0
37.0,-5.0,79.0,0.0,-6.0,0.0,42.0,86.0,44.0,0
42.0,2.0,90.0,0.0,42.0,0.0,48.0,49.0,2.0,0
42.0,0.0,81.0,0.0,42.0,102.0,39.0,40.0,0.0,0
46.0,0.0,77.0,0.0,44.0,-22.0,32.0,34.0,2.0,0
56.0,-4.0,86.0,0.0,56.0,5.0,30.0,29.0,0.0,0
37.0,0.0,79.0,1.0,-2.0,0.0,42.0,82.0,40.0,0
41.0,5.0,85.0,0.0,38.0,0.0,44.0,46.0,2.0,0
37.0,0.0,78.0,-4.0,24.0,0.0,42.0,55.0,14.0,0
44.0,0.0,75.0,-6.0,42.0,-21.0,31.0,34.0,2.0,0
41.0,0.0,78.0,-1.0,42.0,-1.0,37.0,37.0,0.0,0
36.0,0.0,83.0,2.0,36.0,0.0,46.0,46.0,0.0,0
38.0,0.0,90.0,0.0,8.0,2.0,52.0,82.0,30.0,0
44.0,0.0,76.0,0.0,44.0,0.0,31.0,32.0,0.0,0
37.0,-2.0,78.0,0.0,-2.0,0.0,41.0,81.0,40.0,0
49.0,0.0,82.0,0.0,50.0,7.0,33.0,33.0,0.0,0
46.0,-1.0,77.0,-3.0,46.0,-5.0,31.0,30.0,0.0,0
37.0,0.0,98.0,0.0,30.0,6.0,61.0,67.0,6.0,0
37.0,0.0,79.0,-2.0,8.0,0.0,43.0,72.0,28.0,0
41.0,-5.0,76.0,0.0,38.0,-15.0,35.0,37.0,2.0,0
49.0,5.0,90.0,0.0,50.0,2.0,41.0,41.0,0.0,0
37.0,0.0,79.0,-2.0,8.0,19.0,43.0,72.0,28.0,0
37.0,0.0,81.0,0.0,38.0,21.0,44.0,43.0,0.0,0
37.0,0.0,77.0,3.0,36.0,24.0,41.0,41.0,0.0,0
57.0,1.0,84.0,-6.0,56.0,0.0,28.0,28.0,0.0,0
38.0,1.0,79.0,0.0,38.0,15.0,42.0,41.0,0.0,0
43.0,0.0,85.0,-2.0,44.0,22.0,42.0,41.0,0.0,0
45.0,-5.0,90.0,0.0,44.0,-1.0,45.0,46.0,2.0,0
40.0,4.0,77.0,0.0,38.0,0.0,38.0,39.0,2.0,0
37.0,0.0,80.0,0.0,12.0,3.0,43.0,67.0,24.0,0
41.0,0.0,81.0,3.0,42.0,4.0,39.0,39.0,0.0,0
44.0,0.0,86.0,2.0,42.0,-18.0,43.0,45.0,2.0,0
50.0,-5.0,86.0,0.0,50.0,0.0,37.0,37.0,0.0,0
37.0,0.0,96.0,0.0,16.0,-17.0,59.0,81.0,22.0,0
38.0,0.0,105.0,-3.0,38.0,0.0,67.0,66.0,0.0,0
51.0,0.0,86.0,0.0,52.0,13.0,35.0,34.0,0.0,0
41.0,0.0,84.0,0.0,42.0,18.0,44.0,43.0,0.0,0
49.0,0.0,106.0,-5.0,50.0,19.0,58.0,57.0,0.0,0
57.0,-3.0,86.0,-1.0,56.0,0.0,29.0,29.0,0.0,0
41.0,0.0,89.0,0.0,38.0,-11.0,48.0,50.0,2.0,0
37.0,1.0,106.0,-5.0,28.0,0.0,68.0,77.0,8.0,0
36.0,-3.0,77.0,0.0,36.0,0.0,41.0,41.0,0.0,0
53.0,1.0,81.0,0.0,52.0,-28.0,28.0,30.0,2.0,0
45.0,1.0,76.0,0.0,44.0,0.0,31.0,32.0,2.0,0
45.0,5.0,88.0,0.0,44.0,0.0,43.0,44.0,0.0,0
43.0,2.0,76.0,0.0,42.0,-1.0,33.0,35.0,2.0,0
37.0,-5.0,77.0,0.0,36.0,-22.0,40.0,41.0,2.0,0
55.0,1.0,93.0,5.0,54.0,0.0,38.0,39.0,2.0,0
54.0,-3.0,80.0,0.0,54.0,0.0,26.0,26.0,0.0,0
41.0,-1.0,97.0,-5.0,38.0,-10.0,56.0,58.0,2.0,0
46.0,2.0,106.0,0.0,46.0,4.0,60.0,60.0,0.0,0
37.0,0.0,76.0,0.0,26.0,-15.0,39.0,50.0,10.0,0
45.0,-1.0,81.0,-3.0,46.0,17.0,36.0,35.0,0.0,0
44.0,-2.0,85.0,0.0,44.0,0.0,41.0,41.0,0.0,0
52.0,0.0,82.0,4.0,50.0,-30.0,30.0,33.0,2.0,0
51.0,0.0,82.0,0.0,50.0,-2.0,31.0,33.0,2.0,0
37.0,0.0,77.0,0.0,28.0,25.0,41.0,49.0,8.0,0
59.0,0.0,86.0,-1.0,60.0,21.0,28.0,27.0,0.0,0
53.0,3.0,103.0,1.0,52.0,-3.0,50.0,51.0,2.0,0
62.0,0.0,110.0,2.0,62.0,0.0,48.0,48.0,0.0,0
